C:\Users\pindus\Desktop\SITLess_Data\EXP1\COG\POST\2B\SL001\SL001_2B6AC.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,Condition,DataFile.Basename,Day,ExperimentVersion,Group,Hits.Mean,Hits.StdDevP,NB,NonTargetAcc.Mean,NonTargetAcc.StdDevP,OnebackLureCounter,OverallACC,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Timing,Total_Ommision_Error,TotalComissionErrors,TwobackLureCounter,Welcome.DEVICE,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,BlockTrialList,BlockTrialList.Cycle,BlockTrialList.Sample,BreakMessage,BreakMessage.DEVICE,GetReady.DEVICE,Practice,Procedure[Trial],Running[Trial],SubTrial,CorrectResp,CurrentLetters,HitsComissionErrors,HitsOmissions,IncorrectResp,Letter,NonTargetComissionErrors,NonTargetOmissions,Procedure[SubTrial],Running[SubTrial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType,Type
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,1,1,,0,0,4,F,0,0,TrialProc,TrialList,1,1,Keyboard,0,23,100719,514,1,308,101027,1,2,1,NonTarget,110
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,2,1,,0,0,4,S,0,0,TrialProc,TrialList,1,1,Keyboard,0,18,103753,514,1,240,103993,2,2,2,NonTarget,110
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,3,1,,0,0,4,S,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,106788,514,1,613,107401,3,2,3,NonTarget,111
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,4,1,,0,0,4,T,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,109823,514,1,295,110118,4,2,4,NonTarget,110
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,5,4,,1,0,1,s,0,0,TrialProc,TrialList,0,4,Keyboard,0,18,112857,514,1,330,113187,5,2,5,Target,440
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,6,4,,1,0,1,T,0,0,TrialProc,TrialList,1,4,Keyboard,0,19,115892,514,4,353,116245,6,2,6,Target,441
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,7,4,,1,0,1,s,0,0,TrialProc,TrialList,1,4,Keyboard,0,19,118927,513,4,479,119406,7,2,7,Target,442
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,8,1,,1,0,4,P,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,121961,514,1,460,122421,8,2,8,NonTarget,110
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,9,1,,1,0,4,r,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,124996,514,1,550,125546,9,2,9,NonTarget,110
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,10,1,,1,0,4,C,0,0,TrialProc,TrialList,1,1,Keyboard,0,18,128030,514,1,452,128482,10,2,10,NonTarget,110
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,11,4,,1,0,1,R,0,0,TrialProc,TrialList,1,4,Keyboard,0,19,131065,514,4,452,131517,11,2,11,Target,440
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,12,1,,1,0,4,k,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,134100,513,1,389,134489,12,2,12,NonTarget,110
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,13,1,,1,0,4,B,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,137134,514,1,466,137600,13,2,13,NonTarget,110
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,14,1,,1,0,4,T,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,140169,514,1,366,140535,14,2,14,NonTarget,110
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,15,4,,1,0,1,B,0,0,TrialProc,TrialList,1,4,Keyboard,0,18,143203,514,4,411,143614,15,2,15,Target,440
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,16,1,,1,0,4,k,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,146238,514,1,375,146613,16,2,16,NonTarget,110
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,17,1,,1,0,4,t,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,149273,514,1,634,149907,17,2,17,NonTarget,113
NB_update,1,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5274836990114</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T18:33:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL001_2B6AC,6,1.0.0.787,1,91.67,0.276385399,2,96.3,0.188852575,3,94.87,143.975,619771048,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 18:33,13:33:23,3.0.3.82,A,0,2,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,18,4,,1,0,1,k,0,0,TrialProc,TrialList,1,4,Keyboard,0,18,152307,514,4,466,152773,18,2,18,Target,440
