C:\Users\pindus\Desktop\SITLess_Data\EXP1\COG\POST\1B\SL003\SL003_1B6AD.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,Condition,DataFile.Basename,Day,ExperimentVersion,Group,Hits.Mean,Hits.StdDevP,Instructions,NB,NonTargetAcc.Mean,NonTargetAcc.StdDevP,OnebackLureCounter,OverallACC,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Timing,Total_Ommision_Error,TotalComissionErrors,TwobackLureCounter,Welcome.DEVICE,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,BlockTrialList,BlockTrialList.Cycle,BlockTrialList.Sample,BreakMessage,BreakMessage.DEVICE,GetReady.DEVICE,Practice,Procedure[Trial],Running[Trial],SubTrial,CorrectResp,CurrentLetters,HitsComissionErrors,HitsOmissions,IncorrectResp,Letter,NonTargetComissionErrors,NonTargetOmissions,Procedure[SubTrial],Running[SubTrial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType,Type
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,1,1,,0,0,4,s,0,0,TrialProc,TrialList,1,1,Keyboard,0,22,47650,514,1,370,48020,1,2,1,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,2,1,,0,0,4,K,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,50685,514,1,539,51224,2,2,2,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,3,1,,0,0,4,F,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,53720,514,1,346,54066,3,2,3,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,4,1,,0,0,4,C,0,0,TrialProc,TrialList,1,1,Keyboard,0,18,56754,514,1,378,57132,4,2,4,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,5,4,,0,0,1,c,0,0,TrialProc,TrialList,1,4,Keyboard,0,19,59789,514,4,540,60329,5,2,5,Target,440
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,6,4,,0,0,1,C,0,0,TrialProc,TrialList,1,4,Keyboard,0,19,62824,513,4,410,63234,6,2,6,Target,441
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,7,4,,0,0,1,c,0,0,TrialProc,TrialList,1,4,Keyboard,0,19,65858,514,4,453,66311,7,2,7,Target,441
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,8,4,,0,0,1,C,0,0,TrialProc,TrialList,1,4,Keyboard,0,19,68893,514,4,304,69197,8,2,8,Target,441
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,9,1,,0,0,4,k,0,0,TrialProc,TrialList,1,1,Keyboard,0,18,71927,514,1,455,72382,9,2,9,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,10,1,,0,0,4,T,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,74962,514,1,440,75402,10,2,10,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,11,1,,0,0,4,k,0,1,TrialProc,TrialList,0,1,Keyboard,0,19,77997,514,,0,0,11,2,11,NonTarget,112
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,12,1,,0,0,4,S,0,1,TrialProc,TrialList,1,1,Keyboard,0,18,81031,514,1,314,81345,12,2,12,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,13,4,,1,0,1,S,0,1,TrialProc,TrialList,0,4,Keyboard,0,19,84066,514,1,332,84398,13,2,13,Target,440
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,14,4,,1,0,1,s,0,1,TrialProc,TrialList,1,4,Keyboard,0,18,87100,514,4,403,87503,14,2,14,Target,441
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,15,4,,1,0,1,s,0,1,TrialProc,TrialList,1,4,Keyboard,0,19,90135,514,4,307,90442,15,2,15,Target,441
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,16,1,,1,0,4,c,0,1,TrialProc,TrialList,1,1,Keyboard,0,19,93170,514,1,389,93559,16,2,16,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,17,1,,1,0,4,B,0,1,TrialProc,TrialList,1,1,Keyboard,0,18,96204,514,1,614,96818,17,2,17,NonTarget,110
NB_update,3,1,D,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13775648022908</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T18:35:21Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6AD,6,1.0.0.787,1,75,0.433012702,Press SPACEBAR to begin.,1,96.3,0.188852575,0,89.74,143.953,1690584260,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 18:35,13:35:22,3.0.3.82,A,1,3,3,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,18,1,,1,0,4,r,0,1,TrialProc,TrialList,1,1,Keyboard,0,19,99239,514,1,366,99605,18,2,18,NonTarget,110
