C:\Users\pindus\Desktop\SITLess_Data\EXP2\COG\PRE\2B\SL003\SL003_2B7BC.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,Condition,DataFile.Basename,Day,ExperimentVersion,Group,Hits.Mean,Hits.StdDevP,NB,NonTargetAcc.Mean,NonTargetAcc.StdDevP,OnebackLureCounter,OverallACC,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Timing,Total_Ommision_Error,TotalComissionErrors,TwobackLureCounter,Welcome.DEVICE,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,BlockTrialList,BlockTrialList.Cycle,BlockTrialList.Sample,BreakMessage,BreakMessage.DEVICE,GetReady.DEVICE,Practice,Procedure[Trial],Running[Trial],SubTrial,CorrectResp,CurrentLetters,HitsComissionErrors,HitsOmissions,IncorrectResp,Letter,NonTargetComissionErrors,NonTargetOmissions,Procedure[SubTrial],Running[SubTrial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType,Type
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,1,1,,0,0,4,K,0,0,TrialProc,TrialList,1,1,Keyboard,0,22,44678,514,1,739,45417,1,2,1,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,2,1,,0,0,4,x,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,47713,514,1,426,48139,2,2,2,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,3,1,,0,0,4,f,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,50748,513,1,337,51085,3,2,3,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,4,1,,0,0,4,P,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,53782,514,1,375,54157,4,2,4,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,5,1,,0,0,4,R,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,56817,514,1,384,57201,5,2,5,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,6,1,,0,0,4,c,0,0,TrialProc,TrialList,1,1,Keyboard,0,18,59851,514,1,419,60270,6,2,6,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,7,1,,0,0,4,c,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,62886,514,1,858,63744,7,2,7,NonTarget,111
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,8,1,,0,0,4,T,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,65921,514,1,475,66396,8,2,8,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,9,4,,0,0,1,c,0,0,TrialProc,TrialList,1,4,Keyboard,0,18,68955,514,4,634,69589,9,2,9,Target,440
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,10,1,,0,0,4,S,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,71990,514,1,433,72423,10,2,10,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,11,1,,0,0,4,x,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,75025,513,1,507,75532,11,2,11,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,12,1,,0,0,4,c,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,78059,514,1,1085,79144,12,2,12,NonTarget,113
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,13,4,,1,0,1,x,0,0,TrialProc,TrialList,0,4,Keyboard,0,19,81094,514,1,339,81433,13,2,13,Target,440
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,14,4,,1,0,1,C,0,0,TrialProc,TrialList,1,4,Keyboard,0,18,84128,514,4,988,85116,14,2,14,Target,441
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,15,4,,1,0,1,x,0,0,TrialProc,TrialList,1,4,Keyboard,0,19,87163,514,4,697,87860,15,2,15,Target,442
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,16,1,,1,0,4,f,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,90198,514,1,684,90882,16,2,16,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,17,1,,1,0,4,B,0,0,TrialProc,TrialList,1,1,Keyboard,0,18,93232,514,1,509,93741,17,2,17,NonTarget,110
NB_update,3,1,C,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18777827684476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2,SL003_2B7BC,7,1.0.0.787,1,66.67,0.471404521,2,96.3,0.188852575,1,87.18,143.913,233682687,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:32,8:32:25,3.0.3.82,B,0,5,0,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,18,4,,1,0,1,F,0,0,TrialProc,TrialList,1,4,Keyboard,0,19,96267,514,4,588,96855,18,2,18,Target,440
